Date, Open, High, Low, Close
03/31/11, 5946.76, 5972.80, 5908.76, 5908.76
03/30/11, 5937.06, 5970.98, 5937.06, 5948.30
03/29/11, 5904.26, 5932.73, 5879.90, 5932.17
03/28/11, 5902.86, 5922.99, 5900.60, 5904.49
03/25/11, 5889.61, 5918.73, 5878.22, 5900.76
03/24/11, 5795.69, 5888.70, 5780.41, 5880.87
03/23/11, 5757.93, 5802.44, 5731.40, 5795.88
03/22/11, 5785.52, 5813.81, 5742.62, 5762.71
03/21/11, 5731.98, 5798.78, 5731.98, 5786.09
03/18/11, 5699.98, 5758.17, 5699.98, 5718.13
03/17/11, 5602.13, 5707.68, 5602.13, 5696.11
03/16/11, 5693.05, 5720.92, 5598.23, 5598.23
03/15/11, 5774.19, 5774.19, 5591.59, 5695.28
03/14/11, 5828.05, 5842.04, 5769.04, 5775.24
03/11/11, 5845.08, 5845.08, 5796.44, 5828.67
03/10/11, 5937.17, 5937.20, 5833.23, 5845.29
03/09/11, 5975.57, 5979.33, 5922.66, 5937.30
03/08/11, 5973.81, 5999.93, 5911.00, 5974.76
03/07/11, 5990.57, 6043.12, 5967.68, 5973.78
03/04/11, 6005.28, 6052.08, 5983.21, 5990.39
03/03/11, 5915.66, 6017.08, 5915.66, 6005.09
03/02/11, 5935.73, 5941.82, 5865.92, 5914.89
03/01/11, 5994.14, 6040.43, 5927.43, 5935.76
02/28/11, 6000.88, 6022.33, 5963.58, 5994.01
02/25/11, 5920.71, 6011.50, 5920.71, 6001.20
02/24/11, 5922.92, 5936.68, 5860.95, 5919.98
02/23/11, 5996.72, 5996.72, 5915.52, 5923.53
02/22/11, 6014.42, 6028.56, 5926.55, 5996.76
02/21/11, 6082.85, 6105.77, 6013.14, 6014.80
02/18/11, 6087.43, 6096.78, 6048.83, 6082.99
02/17/11, 6084.68, 6101.42, 6066.71, 6087.38
02/16/11, 6035.39, 6095.76, 6033.51, 6085.27
02/15/11, 6060.04, 6072.07, 6023.77, 6037.08
02/14/11, 6062.82, 6091.48, 6042.10, 6060.09
02/11/11, 6019.97, 6071.40, 5973.44, 6062.90
02/10/11, 6052.20, 6052.20, 5986.48, 6020.01
02/09/11, 6091.32, 6091.32, 6049.50, 6052.29
02/08/11, 6050.42, 6091.33, 6032.88, 6091.33
02/07/11, 5996.98, 6054.09, 5996.61, 6051.03
02/04/11, 5983.44, 6023.41, 5983.33, 5997.38
02/03/11, 6000.29, 6000.29, 5951.82, 5983.34
02/02/11, 5960.19, 6020.46, 5960.19, 6000.07
02/01/11, 5862.97, 5963.72, 5862.97, 5957.82
01/31/11, 5880.63, 5881.72, 5815.44, 5862.94
01/28/11, 5964.54, 5965.84, 5877.88, 5881.37
01/27/11, 5967.90, 5997.33, 5950.72, 5965.08
01/26/11, 5917.90, 6003.28, 5917.90, 5969.21
01/25/11, 5943.90, 5964.69, 5904.33, 5917.71
01/24/11, 5896.34, 5960.55, 5887.60, 5943.85
01/21/11, 5868.11, 5939.33, 5868.08, 5896.25
01/20/11, 5976.66, 5977.50, 5867.29, 5867.91
01/19/11, 6056.71, 6077.06, 5974.79, 5976.70
01/18/11, 5985.79, 6065.71, 5985.48, 6056.43
01/17/11, 6009.68, 6013.40, 5975.64, 5985.70
01/14/11, 6023.81, 6031.74, 5948.47, 6002.07
01/13/11, 6050.73, 6055.47, 6005.51, 6023.88
01/12/11, 6014.08, 6050.72, 6013.87, 6050.72
01/11/11, 5956.92, 6035.89, 5956.92, 6014.03
01/10/11, 5983.75, 5984.25, 5939.89, 5956.30
01/07/11, 6019.47, 6023.70, 5973.41, 5984.33
01/06/11, 6043.80, 6090.49, 6004.56, 6019.51
01/05/11, 6013.78, 6043.86, 5964.43, 6043.86
01/04/11, 5900.13, 6049.45, 5900.13, 6013.87
01/03/11, 5899.94, 5985.70, 5899.94, 5899.94
12/31/10, 5971.62, 5985.70, 5899.94, 5899.94
12/30/10, 5996.35, 6009.84, 5969.71, 5971.01
